 2016-11-15 20:06:45 INFO::rmse : 1963.23796687425
 2016-11-15 20:06:45 INFO::mae : 1154.12154822012
 2016-11-15 20:06:45 INFO::nrounds : 240
 2016-11-15 20:06:45 INFO::eta : 0.1
 2016-11-15 20:06:45 INFO::max_depth : 7
 2016-11-15 20:06:45 INFO::min_child_weight : 10
 2016-11-15 20:06:45 INFO::subsample : 0.7
 2016-11-15 20:06:45 INFO::colsample_bytree : 0.7
 2016-11-15 20:06:45 INFO::scale_pos_weight : 1
 2016-11-15 20:06:45 INFO::gamma : 0
 2016-11-15 20:06:45 INFO::objective : 1
 2016-11-15 20:06:45 INFO::base_score : 7
2016-11-15 20:09:45 INFO::model : 1
 2016-11-15 20:09:45 INFO::rmsle : 0.54126152018373
 2016-11-15 20:09:45 INFO::rmse : 1955.37133233862
 2016-11-15 20:09:45 INFO::mae : 1156.20582386508
 2016-11-15 20:09:45 INFO::nrounds : 240
 2016-11-15 20:09:45 INFO::eta : 0.1
 2016-11-15 20:09:45 INFO::max_depth : 5
 2016-11-15 20:09:45 INFO::min_child_weight : 30
 2016-11-15 20:09:45 INFO::subsample : 0.7
 2016-11-15 20:09:45 INFO::colsample_bytree : 0.7
 2016-11-15 20:09:45 INFO::scale_pos_weight : 1
 2016-11-15 20:09:45 INFO::gamma : 0
 2016-11-15 20:09:45 INFO::objective : 1
 2016-11-15 20:09:45 INFO::base_score : 7
2016-11-15 20:13:14 INFO::model : 1
 2016-11-15 20:13:14 INFO::rmsle : 0.540175106275466
 2016-11-15 20:13:14 INFO::rmse : 1952.5275120884
 2016-11-15 20:13:14 INFO::mae : 1154.34712300446
 2016-11-15 20:13:14 INFO::nrounds : 240
 2016-11-15 20:13:14 INFO::eta : 0.1
 2016-11-15 20:13:14 INFO::max_depth : 6
 2016-11-15 20:13:14 INFO::min_child_weight : 30
 2016-11-15 20:13:14 INFO::subsample : 0.7
 2016-11-15 20:13:14 INFO::colsample_bytree : 0.7
 2016-11-15 20:13:14 INFO::scale_pos_weight : 1
 2016-11-15 20:13:14 INFO::gamma : 0
 2016-11-15 20:13:14 INFO::objective : 1
 2016-11-15 20:13:14 INFO::base_score : 7
2016-11-15 20:17:13 INFO::model : 1
 2016-11-15 20:17:13 INFO::rmsle : 0.539625761501787
 2016-11-15 20:17:13 INFO::rmse : 1960.3929768498
 2016-11-15 20:17:13 INFO::mae : 1153.28000382482
 2016-11-15 20:17:13 INFO::nrounds : 240
 2016-11-15 20:17:13 INFO::eta : 0.1
 2016-11-15 20:17:13 INFO::max_depth : 7
 2016-11-15 20:17:13 INFO::min_child_weight : 30
 2016-11-15 20:17:13 INFO::subsample : 0.7
 2016-11-15 20:17:13 INFO::colsample_bytree : 0.7
 2016-11-15 20:17:13 INFO::scale_pos_weight : 1
 2016-11-15 20:17:13 INFO::gamma : 0
 2016-11-15 20:17:13 INFO::objective : 1
 2016-11-15 20:17:13 INFO::base_score : 7
2016-11-15 20:19:56 INFO::model : 1
 2016-11-15 20:19:56 INFO::rmsle : 0.541375320031846
 2016-11-15 20:19:56 INFO::rmse : 1960.8992846552
 2016-11-15 20:19:56 INFO::mae : 1155.47368443404
 2016-11-15 20:19:56 INFO::nrounds : 240
 2016-11-15 20:19:56 INFO::eta : 0.1
 2016-11-15 20:19:56 INFO::max_depth : 5
 2016-11-15 20:19:56 INFO::min_child_weight : 100
 2016-11-15 20:19:56 INFO::subsample : 0.7
 2016-11-15 20:19:56 INFO::colsample_bytree : 0.7
 2016-11-15 20:19:56 INFO::scale_pos_weight : 1
 2016-11-15 20:19:56 INFO::gamma : 0
 2016-11-15 20:19:56 INFO::objective : 1
 2016-11-15 20:19:56 INFO::base_score : 7
2016-11-15 20:23:08 INFO::model : 1
 2016-11-15 20:23:08 INFO::rmsle : 0.539701552963304
 2016-11-15 20:23:08 INFO::rmse : 1955.91936220938
 2016-11-15 20:23:08 INFO::mae : 1152.00526744533
 2016-11-15 20:23:08 INFO::nrounds : 240
 2016-11-15 20:23:08 INFO::eta : 0.1
 2016-11-15 20:23:08 INFO::max_depth : 6
 2016-11-15 20:23:08 INFO::min_child_weight : 100
 2016-11-15 20:23:08 INFO::subsample : 0.7
 2016-11-15 20:23:08 INFO::colsample_bytree : 0.7
 2016-11-15 20:23:08 INFO::scale_pos_weight : 1
 2016-11-15 20:23:08 INFO::gamma : 0
 2016-11-15 20:23:08 INFO::objective : 1
 2016-11-15 20:23:08 INFO::base_score : 7
2016-11-15 20:27:56 INFO::model : 1
 2016-11-15 20:27:56 INFO::rmsle : 0.539216581774497
 2016-11-15 20:27:56 INFO::rmse : 1953.9010740742
 2016-11-15 20:27:56 INFO::mae : 1150.8667625353
 2016-11-15 20:27:56 INFO::nrounds : 240
 2016-11-15 20:27:56 INFO::eta : 0.1
 2016-11-15 20:27:56 INFO::max_depth : 7
 2016-11-15 20:27:56 INFO::min_child_weight : 100
 2016-11-15 20:27:56 INFO::subsample : 0.7
 2016-11-15 20:27:56 INFO::colsample_bytree : 0.7
 2016-11-15 20:27:56 INFO::scale_pos_weight : 1
 2016-11-15 20:27:56 INFO::gamma : 0
 2016-11-15 20:27:56 INFO::objective : 1
 2016-11-15 20:27:56 INFO::base_score : 7
2016-11-15 20:27:56 INFO::Best Step 2
2016-11-15 20:27:56 INFO::model : 1
 2016-11-15 20:27:56 INFO::rmsle : 0.539216581774497
 2016-11-15 20:27:56 INFO::rmse : 1953.9010740742
 2016-11-15 20:27:56 INFO::mae : 1150.8667625353
 2016-11-15 20:27:56 INFO::nrounds : 240
 2016-11-15 20:27:56 INFO::eta : 0.1
 2016-11-15 20:27:56 INFO::max_depth : 7
 2016-11-15 20:27:56 INFO::min_child_weight : 100
 2016-11-15 20:27:56 INFO::subsample : 0.7
 2016-11-15 20:27:56 INFO::colsample_bytree : 0.7
 2016-11-15 20:27:56 INFO::scale_pos_weight : 1
 2016-11-15 20:27:56 INFO::gamma : 0
 2016-11-15 20:27:56 INFO::objective : 1
 2016-11-15 20:27:56 INFO::base_score : 7
2016-11-15 20:32:58 INFO::model : 1
 2016-11-15 20:32:58 INFO::rmsle : 0.539216581774497
 2016-11-15 20:32:58 INFO::rmse : 1953.9010740742
 2016-11-15 20:32:58 INFO::mae : 1150.8667625353
 2016-11-15 20:32:58 INFO::nrounds : 240
 2016-11-15 20:32:58 INFO::eta : 0.1
 2016-11-15 20:32:58 INFO::max_depth : 7
 2016-11-15 20:32:58 INFO::min_child_weight : 100
 2016-11-15 20:32:58 INFO::subsample : 0.7
 2016-11-15 20:32:58 INFO::colsample_bytree : 0.7
 2016-11-15 20:32:58 INFO::scale_pos_weight : 1
 2016-11-15 20:32:58 INFO::gamma : 0
 2016-11-15 20:32:58 INFO::objective : 1
 2016-11-15 20:32:58 INFO::base_score : 7
2016-11-15 20:38:07 INFO::model : 1
 2016-11-15 20:38:07 INFO::rmsle : 0.53939383490758
 2016-11-15 20:38:07 INFO::rmse : 1950.88131213671
 2016-11-15 20:38:07 INFO::mae : 1150.96309618936
 2016-11-15 20:38:07 INFO::nrounds : 240
 2016-11-15 20:38:07 INFO::eta : 0.1
 2016-11-15 20:38:07 INFO::max_depth : 7
 2016-11-15 20:38:07 INFO::min_child_weight : 100
 2016-11-15 20:38:07 INFO::subsample : 0.7
 2016-11-15 20:38:07 INFO::colsample_bytree : 0.7
 2016-11-15 20:38:07 INFO::scale_pos_weight : 1
 2016-11-15 20:38:07 INFO::gamma : 0.5
 2016-11-15 20:38:07 INFO::objective : 1
 2016-11-15 20:38:07 INFO::base_score : 7
2016-11-15 20:43:04 INFO::model : 1
 2016-11-15 20:43:04 INFO::rmsle : 0.539426867858204
 2016-11-15 20:43:04 INFO::rmse : 1955.59941667843
 2016-11-15 20:43:04 INFO::mae : 1151.696527526
 2016-11-15 20:43:04 INFO::nrounds : 240
 2016-11-15 20:43:04 INFO::eta : 0.1
 2016-11-15 20:43:04 INFO::max_depth : 7
 2016-11-15 20:43:04 INFO::min_child_weight : 100
 2016-11-15 20:43:04 INFO::subsample : 0.7
 2016-11-15 20:43:04 INFO::colsample_bytree : 0.7
 2016-11-15 20:43:04 INFO::scale_pos_weight : 1
 2016-11-15 20:43:04 INFO::gamma : 0.25
 2016-11-15 20:43:04 INFO::objective : 1
 2016-11-15 20:43:04 INFO::base_score : 7
2016-11-15 20:49:10 INFO::model : 1
 2016-11-15 20:49:10 INFO::rmsle : 0.539339962325865
 2016-11-15 20:49:10 INFO::rmse : 1951.56440897655
 2016-11-15 20:49:10 INFO::mae : 1151.14981008304
 2016-11-15 20:49:10 INFO::nrounds : 240
 2016-11-15 20:49:10 INFO::eta : 0.1
 2016-11-15 20:49:10 INFO::max_depth : 7
 2016-11-15 20:49:10 INFO::min_child_weight : 100
 2016-11-15 20:49:10 INFO::subsample : 0.7
 2016-11-15 20:49:10 INFO::colsample_bytree : 0.7
 2016-11-15 20:49:10 INFO::scale_pos_weight : 1
 2016-11-15 20:49:10 INFO::gamma : 0.1
 2016-11-15 20:49:10 INFO::objective : 1
 2016-11-15 20:49:10 INFO::base_score : 7
2016-11-15 20:54:09 INFO::model : 1
 2016-11-15 20:54:09 INFO::rmsle : 0.53926855802564
 2016-11-15 20:54:09 INFO::rmse : 1950.91438328636
 2016-11-15 20:54:09 INFO::mae : 1150.9732440078
 2016-11-15 20:54:09 INFO::nrounds : 240
 2016-11-15 20:54:09 INFO::eta : 0.1
 2016-11-15 20:54:09 INFO::max_depth : 7
 2016-11-15 20:54:09 INFO::min_child_weight : 100
 2016-11-15 20:54:09 INFO::subsample : 0.7
 2016-11-15 20:54:09 INFO::colsample_bytree : 0.7
 2016-11-15 20:54:09 INFO::scale_pos_weight : 1
 2016-11-15 20:54:09 INFO::gamma : 0.05
 2016-11-15 20:54:09 INFO::objective : 1
 2016-11-15 20:54:09 INFO::base_score : 7
2016-11-15 20:59:07 INFO::model : 1
 2016-11-15 20:59:07 INFO::rmsle : 0.539331547927685
 2016-11-15 20:59:07 INFO::rmse : 1955.14965953769
 2016-11-15 20:59:07 INFO::mae : 1151.18263245775
 2016-11-15 20:59:07 INFO::nrounds : 240
 2016-11-15 20:59:07 INFO::eta : 0.1
 2016-11-15 20:59:07 INFO::max_depth : 7
 2016-11-15 20:59:07 INFO::min_child_weight : 100
 2016-11-15 20:59:07 INFO::subsample : 0.7
 2016-11-15 20:59:07 INFO::colsample_bytree : 0.7
 2016-11-15 20:59:07 INFO::scale_pos_weight : 1
 2016-11-15 20:59:07 INFO::gamma : 0.01
 2016-11-15 20:59:07 INFO::objective : 1
 2016-11-15 20:59:07 INFO::base_score : 7
2016-11-15 20:59:07 INFO::Best Step 3
2016-11-15 20:59:07 INFO::model : 1
 2016-11-15 20:59:07 INFO::rmsle : 0.539216581774497
 2016-11-15 20:59:07 INFO::rmse : 1953.9010740742
 2016-11-15 20:59:07 INFO::mae : 1150.8667625353
 2016-11-15 20:59:07 INFO::nrounds : 240
 2016-11-15 20:59:07 INFO::eta : 0.1
 2016-11-15 20:59:07 INFO::max_depth : 7
 2016-11-15 20:59:07 INFO::min_child_weight : 100
 2016-11-15 20:59:07 INFO::subsample : 0.7
 2016-11-15 20:59:07 INFO::colsample_bytree : 0.7
 2016-11-15 20:59:07 INFO::scale_pos_weight : 1
 2016-11-15 20:59:07 INFO::gamma : 0
 2016-11-15 20:59:07 INFO::objective : 1
 2016-11-15 20:59:07 INFO::base_score : 7
2016-11-15 21:01:17 INFO::model : 1
 2016-11-15 21:01:17 INFO::rmsle : 0.545475397977634
 2016-11-15 21:01:17 INFO::rmse : 1988.85641522607
 2016-11-15 21:01:17 INFO::mae : 1165.2326953926
 2016-11-15 21:01:17 INFO::nrounds : 240
 2016-11-15 21:01:17 INFO::eta : 0.1
 2016-11-15 21:01:17 INFO::max_depth : 7
 2016-11-15 21:01:17 INFO::min_child_weight : 100
 2016-11-15 21:01:17 INFO::subsample : 0.2
 2016-11-15 21:01:17 INFO::colsample_bytree : 0.2
 2016-11-15 21:01:17 INFO::scale_pos_weight : 1
 2016-11-15 21:01:17 INFO::gamma : 0
 2016-11-15 21:01:17 INFO::objective : 1
 2016-11-15 21:01:17 INFO::base_score : 7
2016-11-15 21:03:50 INFO::model : 1
 2016-11-15 21:03:50 INFO::rmsle : 0.541830615393418
 2016-11-15 21:03:50 INFO::rmse : 1973.1688738173
 2016-11-15 21:03:50 INFO::mae : 1157.23085202854
 2016-11-15 21:03:50 INFO::nrounds : 240
 2016-11-15 21:03:50 INFO::eta : 0.1
 2016-11-15 21:03:50 INFO::max_depth : 7
